Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Congo,Brazzaville,2025-02-01 11:30:00,29.1,70,1013.0,Partly cloudy,1.694458
Congo,Brazzaville,2025-02-02 11:15:00,26.0,79,1013.0,Partly cloudy,2.3055740000000005
Congo,Brazzaville,2025-02-03 11:30:00,28.2,74,1012.0,Partly cloudy,1.0000080000000002
Congo,Brazzaville,2025-02-04 11:30:00,28.2,79,1013.0,Partly cloudy,1.0000080000000002
Congo,Brazzaville,2025-02-05 11:30:00,28.2,79,1012.0,Partly cloudy,1.0000080000000002
Congo,Brazzaville,2025-02-06 11:15:00,28.1,74,1011.0,Patchy light rain with thunder,1.611124
Congo,Brazzaville,2025-02-07 11:30:00,27.0,74,1013.0,Partly cloudy,1.0000080000000002
Congo,Brazzaville,2025-02-08 11:30:00,28.2,66,1014.0,Partly cloudy,1.3055660000000002
Congo,Brazzaville,2025-02-09 11:30:00,28.3,74,1013.0,Partly cloudy,1.0000080000000002
Congo,Brazzaville,2025-02-10 11:30:00,26.1,89,1012.0,Moderate or heavy rain with thunder,1.3055660000000002
Congo,Brazzaville,2025-02-11 11:15:00,28.3,74,1011.0,Partly cloudy,1.8889040000000001
Congo,Brazzaville,2025-02-12 11:15:00,22.3,94,1013.0,Moderate or heavy rain with thunder,2.3889080000000003
Congo,Brazzaville,2025-02-13 11:15:00,26.2,79,1014.0,Partly cloudy,2.3889080000000003
Congo,Brazzaville,2025-02-14 11:00:00,28.1,70,1014.0,Partly cloudy,1.0000080000000002
Congo,Brazzaville,2025-02-15 11:15:00,33.1,54,1011.0,Sunny,1.0000080000000002
Congo,Brazzaville,2025-02-16 11:15:00,24.0,83,1013.0,Patchy light rain with thunder,1.0000080000000002
Congo,Brazzaville,2025-02-17 11:15:00,27.1,74,1013.0,Partly cloudy,2.0000160000000005
Congo,Brazzaville,2025-02-18 11:15:00,24.2,83,1015.0,Partly cloudy,1.0000080000000002
Congo,Brazzaville,2025-02-19 11:15:00,30.0,66,1014.0,Partly cloudy,1.3055660000000002
Congo,Brazzaville,2025-02-20 11:00:00,29.1,75,1013.0,Partly cloudy,1.5000120000000003
Congo,Brazzaville,2025-02-21 11:00:00,27.0,74,1015.0,Partly cloudy,1.8055700000000001
Congo,Brazzaville,2025-02-22 11:00:00,28.3,74,1014.0,Partly cloudy,1.0000080000000002
Congo,Brazzaville,2025-02-23 11:00:00,27.1,74,1013.0,Partly cloudy,1.0000080000000002
Congo,Brazzaville,2025-02-24 11:00:00,29.3,66,1014.0,Partly cloudy,2.50002
Congo,Brazzaville,2025-02-25 11:00:00,27.2,74,1016.0,Partly cloudy,3.111136
Congo,Brazzaville,2025-02-26 11:00:00,25.2,83,1015.0,Partly cloudy,2.194462
Congo,Brazzaville,2025-02-27 11:00:00,30.2,62,1015.0,Partly cloudy,1.0000080000000002
Congo,Brazzaville,2025-02-28 10:45:00,28.2,74,1015.0,Partly cloudy,1.0000080000000002
